,,,,,,0.000341255,4.939693168
Time - Plot 0,Amplitude - Plot 0,,,Time,Amplitude,,0.502626754
0.000000,0,,0,0.00091,0.04,0,
0.000001,0,,1.00E-06,0.000911,0.04,0.014453902,
0.000002,0,,2.00E-06,0.000912,0.08,0.028865512,
0.000003,-0.04,,3.00E-06,0.000913,0.08,0.043234951,
0.000004,-0.04,,4.00E-06,0.000914,0.08,0.057562345,
0.000005,0,,5.00E-06,0.000915,0.08,0.071847816,
0.000006,-0.04,,6.00E-06,0.000916,0.08,0.086091486,
0.000007,0,,7.00E-06,0.000917,0.16,0.100293479,
0.000008,0,,8.00E-06,0.000918,0.16,0.114453915,
0.000009,0,,0.000009,0.000919,0.16,0.128572917,
0.000010,0,,0.00001,0.00092,0.2,0.142650606,
0.000011,0,,1.10E-05,0.000921,0.16,0.156687102,
0.000012,0,,0.000012,0.000922,0.16,0.170682527,
0.000013,0,,0.000013,0.000923,0.24,0.184636999,
0.000014,-0.04,,0.000014,0.000924,0.2,0.198550641,
0.000015,0,,0.000015,0.000925,0.24,0.212423569,
0.000016,0,,0.000016,0.000926,0.24,0.226255905,
0.000017,-0.04,,0.000017,0.000927,0.24,0.240047766,
0.000018,0,,0.000018,0.000928,0.28,0.253799271,
0.000019,0,,0.000019,0.000929,0.28,0.267510538,
0.000020,0,,2.00E-05,0.00093,0.32,0.281181685,
0.000021,0,,0.000021,0.000931,0.32,0.29481283,
0.000022,0,,0.000022,0.000932,0.36,0.308404088,
0.000023,0,,0.000023,0.000933,0.32,0.321955578,
0.000024,0,,0.000024,0.000934,0.36,0.335467415,
0.000025,0,,0.000025,0.000935,0.4,0.348939715,
0.000026,-0.04,,0.000026,0.000936,0.36,0.362372594,
0.000027,0,,0.000027,0.000937,0.4,0.375766168,
0.000028,0,,0.000028,0.000938,0.4,0.389120551,
0.000029,0,,2.90E-05,0.000939,0.44,0.402435859,
0.000030,0,,0.00003,0.00094,0.44,0.415712204,
0.000031,0,,0.000031,0.000941,0.48,0.428949702,
0.000032,0,,0.000032,0.000942,0.48,0.442148467,
0.000033,-0.04,,0.000033,0.000943,0.48,0.45530861,
0.000034,0,,0.000034,0.000944,0.48,0.468430247,
0.000035,0,,0.000035,0.000945,0.52,0.481513488,
0.000036,-0.04,,0.000036,0.000946,0.48,0.494558447,
0.000037,-0.04,,0.000037,0.000947,0.56,0.507565235,
0.000038,0,,3.80E-05,0.000948,0.56,0.520533965,
0.000039,0,,0.000039,0.000949,0.56,0.533464747,
0.000040,0,,0.00004,0.00095,0.56,0.546357692,
0.000041,-0.04,,0.000041,0.000951,0.6,0.559212912,
0.000042,0,,0.000042,0.000952,0.56,0.572030517,
0.000043,0,,0.000043,0.000953,0.64,0.584810616,
0.000044,0,,0.000044,0.000954,0.64,0.59755332,
0.000045,0,,0.000045,0.000955,0.6,0.610258738,
0.000046,0,,0.000046,0.000956,0.64,0.622926979,
0.000047,0,,4.70E-05,0.000957,0.68,0.635558152,
0.000048,0,,0.000048,0.000958,0.68,0.648152364,
0.000049,0,,0.000049,0.000959,0.68,0.660709726,
0.000050,0,,0.00005,0.00096,0.68,0.673230343,
0.000051,0,,0.000051,0.000961,0.72,0.685714325,
0.000052,0,,0.000052,0.000962,0.72,0.698161777,
0.000053,0,,0.000053,0.000963,0.72,0.710572807,
0.000054,-0.04,,0.000054,0.000964,0.72,0.722947522,
0.000055,0,,0.000055,0.000965,0.76,0.735286027,
0.000056,0,,0.000056,0.000966,0.76,0.747588429,
0.000057,0,,0.000057,0.000967,0.76,0.759854833,
0.000058,-0.04,,0.000058,0.000968,0.8,0.772085345,
0.000059,0,,0.000059,0.000969,0.8,0.784280069,
0.000060,0,,0.00006,0.00097,0.8,0.796439111,
0.000061,0,,0.000061,0.000971,0.8,0.808562574,
0.000062,0,,0.000062,0.000972,0.84,0.820650564,
0.000063,0,,0.000063,0.000973,0.84,0.832703183,
0.000064,0,,0.000064,0.000974,0.88,0.844720535,
0.000065,0,,0.000065,0.000975,0.88,0.856702723,
0.000066,0,,0.000066,0.000976,0.92,0.868649851,
0.000067,0,,0.000067,0.000977,0.92,0.880562021,
0.000068,0,,6.80E-05,0.000978,0.92,0.892439334,
0.000069,-0.04,,6.90E-05,0.000979,0.92,0.904281894,
0.000070,0,,0.00007,0.00098,0.92,0.916089802,
0.000071,0,,7.10E-05,0.000981,0.92,0.927863159,
0.000072,-0.04,,0.000072,0.000982,0.96,0.939602066,
0.000073,0,,7.30E-05,0.000983,0.96,0.951306624,
0.000074,0,,7.40E-05,0.000984,0.96,0.962976934,
0.000075,0,,0.000075,0.000985,1,0.974613096,
0.000076,-0.04,,7.60E-05,0.000986,1,0.986215209,
0.000077,0,,0.000077,0.000987,1,0.997783374,
0.000078,0,,7.80E-05,0.000988,1.04,1.009317689,
0.000079,0,,7.90E-05,0.000989,1.04,1.020818254,
0.000080,0,,0.00008,0.00099,1.08,1.032285168,
0.000081,0,,8.10E-05,0.000991,1.04,1.043718529,
0.000082,0,,0.000082,0.000992,1.08,1.055118435,
0.000083,0,,0.000083,0.000993,1.08,1.066484984,
0.000084,0,,8.40E-05,0.000994,1.08,1.077818273,
0.000085,-0.04,,0.000085,0.000995,1.12,1.089118401,
0.000086,0,,8.60E-05,0.000996,1.12,1.100385463,
0.000087,0,,8.70E-05,0.000997,1.12,1.111619558,
0.000088,-0.04,,0.000088,0.000998,1.16,1.12282078,
0.000089,0,,8.90E-05,0.000999,1.2,1.133989227,
0.000090,-0.04,,0.00009,0.001,1.16,1.145124994,
0.000091,0,,9.10E-05,0.001001,1.2,1.156228177,
0.000092,0,,9.20E-05,0.001002,1.2,1.167298872,
0.000093,0,,0.000093,0.001003,1.2,1.178337173,
0.000094,-0.04,,9.40E-05,0.001004,1.2,1.189343175,
0.000095,-0.04,,0.000095,0.001005,1.24,1.200316972,
0.000096,-0.04,,9.60E-05,0.001006,1.2,1.21125866,
0.000097,0,,9.70E-05,0.001007,1.2,1.222168331,
0.000098,0,,0.000098,0.001008,1.24,1.23304608,
0.000099,0,,9.90E-05,0.001009,1.24,1.243891999,
0.000100,-0.04,,0.0001,0.00101,1.28,1.254706183,
0.000101,0,,0.000101,0.001011,1.24,1.265488724,
0.000102,0,,0.000102,0.001012,1.28,1.276239714,
0.000103,0,,0.000103,0.001013,1.28,1.286959246,
0.000104,0,,0.000104,0.001014,1.28,1.297647411,
0.000105,0,,0.000105,0.001015,1.32,1.308304303,
0.000106,0,,0.000106,0.001016,1.32,1.318930011,
0.000107,0,,0.000107,0.001017,1.32,1.329524628,
0.000108,0,,0.000108,0.001018,1.32,1.340088245,
0.000109,0,,0.000109,0.001019,1.36,1.350620951,
0.000110,0,,0.00011,0.00102,1.36,1.361122838,
0.000111,0,,0.000111,0.001021,1.4,1.371593996,
0.000112,0,,0.000112,0.001022,1.4,1.382034514,
0.000113,0,,0.000113,0.001023,1.4,1.392444483,
0.000114,0,,0.000114,0.001024,1.4,1.402823991,
0.000115,0,,0.000115,0.001025,1.4,1.413173128,
0.000116,-0.04,,0.000116,0.001026,1.4,1.423491983,
0.000117,0,,0.000117,0.001027,1.44,1.433780644,
0.000118,0,,0.000118,0.001028,1.48,1.4440392,
0.000119,0,,0.000119,0.001029,1.48,1.454267738,
0.000120,0,,0.00012,0.00103,1.48,1.464466347,
0.000121,0,,0.000121,0.001031,1.48,1.474635114,
0.000122,0,,0.000122,0.001032,1.48,1.484774127,
0.000123,0,,0.000123,0.001033,1.52,1.494883472,
0.000124,0,,0.000124,0.001034,1.52,1.504963236,
0.000125,0,,0.000125,0.001035,1.52,1.515013507,
0.000126,-0.04,,0.000126,0.001036,1.56,1.525034369,
0.000127,0,,0.000127,0.001037,1.56,1.53502591,
0.000128,0,,0.000128,0.001038,1.56,1.544988214,
0.000129,0,,0.000129,0.001039,1.56,1.554921368,
0.000130,0,,0.00013,0.00104,1.56,1.564825458,
0.000131,0,,0.000131,0.001041,1.56,1.574700567,
0.000132,0,,0.000132,0.001042,1.6,1.58454678,
0.000133,0,,0.000133,0.001043,1.6,1.594364183,
0.000134,0,,0.000134,0.001044,1.6,1.60415286,
0.000135,0,,0.000135,0.001045,1.6,1.613912894,
0.000136,0,,0.000136,0.001046,1.64,1.62364437,
0.000137,0,,0.000137,0.001047,1.64,1.63334737,
0.000138,0,,0.000138,0.001048,1.64,1.643021979,
0.000139,0,,0.000139,0.001049,1.68,1.652668279,
0.000140,0,,0.00014,0.00105,1.68,1.662286354,
0.000141,0,,0.000141,0.001051,1.68,1.671876285,
0.000142,0,,0.000142,0.001052,1.68,1.681438156,
0.000143,0,,0.000143,0.001053,1.68,1.690972047,
0.000144,0,,0.000144,0.001054,1.68,1.700478042,
0.000145,0,,0.000145,0.001055,1.72,1.709956222,
0.000146,0,,0.000146,0.001056,1.72,1.719406668,
0.000147,0,,0.000147,0.001057,1.72,1.728829461,
0.000148,0,,0.000148,0.001058,1.76,1.738224682,
0.000149,0,,0.000149,0.001059,1.76,1.747592412,
0.000150,0,,0.00015,0.00106,1.76,1.756932732,
0.000151,0,,0.000151,0.001061,1.76,1.766245721,
0.000152,0,,0.000152,0.001062,1.8,1.77553146,
0.000153,0,,0.000153,0.001063,1.8,1.784790028,
0.000154,0,,0.000154,0.001064,1.8,1.794021504,
0.000155,-0.04,,0.000155,0.001065,1.8,1.803225969,
