Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,*build graph off of,,Time - square,Amplitude,,Time - circuit,Amplitude,1.839397206,3.160602794
0,0.2,0,0,data to the left*,0,0.00164,10.4,0,0.00164,0,,
0.000004,0.2,0.000004,0,,0.000004,0.001644,10.2,0.000004,0.001644,0.2,,
0.000008,0.2,0.000008,0.2,,0.000008,0.001648,10.4,0.000008,0.001648,0.4,,
0.000012,0.2,0.000012,0,,0.000012,0.001652,10.2,0.000012,0.001652,0.4,,
0.000016,0.2,0.000016,0,,0.000016,0.001656,10.4,0.000016,0.001656,0.6,,
0.00002,0.2,0.00002,0,,0.00002,0.00166,10.2,0.00002,0.00166,0.6,,
0.000024,0.2,0.000024,0,,0.000024,0.001664,10.4,0.000024,0.001664,0.8,,
0.000028,0,0.000028,0,,0.000028,0.001668,10.4,0.000028,0.001668,1,,
0.000032,0.2,0.000032,0,,0.000032,0.001672,10.4,0.000032,0.001672,1,,
0.000036,0.2,0.000036,0,,0.000036,0.001676,10.4,0.000036,0.001676,1.2,,
0.00004,0.2,0.00004,0,,0.00004,0.00168,10.2,0.00004,0.00168,1.2,,
0.000044,0.2,0.000044,0,,0.000044,0.001684,10.4,0.000044,0.001684,1.2,,
0.000048,0.2,0.000048,0,,0.000048,0.001688,10.4,0.000048,0.001688,1.4,,
0.000052,0.2,0.000052,0,,0.000052,0.001692,10.2,0.000052,0.001692,1.4,,
0.000056,0.2,0.000056,0,,0.000056,0.001696,10.2,0.000056,0.001696,1.6,,
0.00006,0.2,0.00006,0.2,,0.00006,0.0017,10.4,0.00006,0.0017,1.8,,
0.000064,0.2,0.000064,0,,0.000064,0.001704,10.4,0.000064,0.001704,1.8,,
0.000068,0.2,0.000068,0,,0.000068,0.001708,10.2,0.000068,0.001708,2,,
0.000072,0,0.000072,0,,0.000072,0.001712,10.4,0.000072,0.001712,2,,
0.000076,0.2,0.000076,0,,0.000076,0.001716,10.4,0.000076,0.001716,2,,
0.00008,0.2,0.00008,0.2,,0.00008,0.00172,10.2,0.00008,0.00172,2.2,,
0.000084,0.2,0.000084,0,,0.000084,0.001724,10.4,0.000084,0.001724,2.2,,
0.000088,0.2,0.000088,0,,0.000088,0.001728,10.2,0.000088,0.001728,2.4,,
