Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
0,0.2,0,-5,,,
1.00E-08,0.2,1.00E-08,-5,,,
2.00E-08,0.2,2.00E-08,-4.8,,,
3.00E-08,0.4,3.00E-08,-5,,,100 khz
4.00E-08,0.6,4.00E-08,-4.8,,,
5.00E-08,0.4,5.00E-08,-5,,,
6.00E-08,0.2,6.00E-08,-4.8,,,
7.00E-08,0.2,7.00E-08,-4.8,,,
8.00E-08,0.4,8.00E-08,-4.6,,,
9.00E-08,0,9.00E-08,-5.2,,,
1.00E-07,0.2,1.00E-07,-4.6,,,
1.10E-07,0.2,1.10E-07,-5.2,,,
1.20E-07,0.4,1.20E-07,-5,,,
1.30E-07,0.2,1.30E-07,-5,,,
1.40E-07,0.4,1.40E-07,-4.8,,,
1.50E-07,0.2,1.50E-07,-5,,,
1.60E-07,0.4,1.60E-07,-5.2,,,
1.70E-07,0.2,1.70E-07,-5,,,
1.80E-07,0.2,1.80E-07,-4.6,,,
1.90E-07,0.2,1.90E-07,-5.2,,,
2.00E-07,0.6,2.00E-07,-4.8,,,
2.10E-07,0.2,2.10E-07,-5.2,,,
2.20E-07,0.4,2.20E-07,-4.8,,,
2.30E-07,0.4,2.30E-07,-4.8,,,
2.40E-07,0.2,2.40E-07,-4.6,,,
2.50E-07,0.4,2.50E-07,-5,,,
2.60E-07,0.2,2.60E-07,-5.4,,,
2.70E-07,0.2,2.70E-07,-5.2,,,
2.80E-07,0.4,2.80E-07,-5.2,,,
2.90E-07,0.4,2.90E-07,-5,,,
3.00E-07,0.2,3.00E-07,-5.2,,,
3.10E-07,0.4,3.10E-07,-5,,,
3.20E-07,0.4,3.20E-07,-5,,,
3.30E-07,0.4,3.30E-07,-4.8,,,
3.40E-07,0.4,3.40E-07,-5,,,
3.50E-07,0,3.50E-07,-5.2,,,
3.60E-07,0.2,3.60E-07,-5.4,,,
3.70E-07,0.4,3.70E-07,-4.8,,,
3.80E-07,0.4,3.80E-07,-5,,,
3.90E-07,0.4,3.90E-07,-5,,,
4.00E-07,0.4,4.00E-07,-4.8,,,
4.10E-07,0.4,4.10E-07,-5,,,
4.20E-07,0.6,4.20E-07,-5.2,,,
4.30E-07,0.4,4.30E-07,-4.6,,,
4.40E-07,0.2,4.40E-07,-5.2,,,
4.50E-07,0.2,4.50E-07,-5,,,
4.60E-07,0.2,4.60E-07,-4.6,,,
4.70E-07,0.2,4.70E-07,-4.8,,,
4.80E-07,0.2,4.80E-07,-4.8,,,
4.90E-07,0,4.90E-07,-5.2,,,
5.00E-07,0.6,5.00E-07,-4.8,,,
5.10E-07,0.6,5.10E-07,-4.8,,,
5.20E-07,0.2,5.20E-07,-4.8,,,
5.30E-07,0.2,5.30E-07,-4.8,,,
5.40E-07,0.2,5.40E-07,-5,,,
5.50E-07,0.4,5.50E-07,-5,,,
5.60E-07,0.4,5.60E-07,-4.6,,,
5.70E-07,0.2,5.70E-07,-4.8,,,
5.80E-07,0.4,5.80E-07,-4.8,,,
5.90E-07,0.2,5.90E-07,-5.4,,,
6.00E-07,0.4,6.00E-07,-5,,,
6.10E-07,0.6,6.10E-07,-4.8,,,
6.20E-07,0,6.20E-07,-5.2,,,
6.30E-07,0.4,6.30E-07,-5,,,
6.40E-07,0.4,6.40E-07,-5,,,
6.50E-07,0,6.50E-07,-5,,,
6.60E-07,0.2,6.60E-07,-4.8,,,
6.70E-07,0.2,6.70E-07,-5,,,
6.80E-07,0.2,6.80E-07,-5,,,
6.90E-07,0.4,6.90E-07,-5,,,
7.00E-07,0.6,7.00E-07,-4.8,,,
7.10E-07,0.2,7.10E-07,-5,,,
7.20E-07,0.2,7.20E-07,-5,,,
7.30E-07,0.4,7.30E-07,-5,,,
7.40E-07,0.4,7.40E-07,-4.8,,,
7.50E-07,0.4,7.50E-07,-5.2,,,
7.60E-07,0.4,7.60E-07,-5,,,
7.70E-07,0.4,7.70E-07,-5,,,
7.80E-07,0.2,7.80E-07,-5,,,
7.90E-07,0.6,7.90E-07,-4.8,,,
8.00E-07,0.4,8.00E-07,-4.8,,,
8.10E-07,0.2,8.10E-07,-5,,,
8.20E-07,0.2,8.20E-07,-5.2,,,
8.30E-07,0.4,8.30E-07,-4.8,,,
8.40E-07,0.2,8.40E-07,-5,,,
8.50E-07,0.4,8.50E-07,-5,,,
8.60E-07,0.6,8.60E-07,-5,,,
8.70E-07,0.2,8.70E-07,-5.2,,,
8.80E-07,0.4,8.80E-07,-4.6,,,
8.90E-07,0,8.90E-07,-4.8,,,
9.00E-07,0.2,9.00E-07,-5,,,
9.10E-07,0.6,9.10E-07,-4.8,,,
9.20E-07,0.2,9.20E-07,-5,,,
9.30E-07,0.4,9.30E-07,-4.8,,,
9.40E-07,0.6,9.40E-07,-4.8,,,
9.50E-07,0.2,9.50E-07,-5,,,
9.60E-07,0.2,9.60E-07,-4.6,,,
9.70E-07,0.2,9.70E-07,-5,,,
9.80E-07,0.2,9.80E-07,-4.8,,,
9.90E-07,0.2,9.90E-07,-4.8,,,
1.00E-06,0.4,1.00E-06,-5.2,,,
1.01E-06,0.2,1.01E-06,-4.8,,,
1.02E-06,0.4,1.02E-06,-5.2,,,
1.03E-06,0.4,1.03E-06,-5,,,
1.04E-06,0.4,1.04E-06,-5,,,
1.05E-06,0.2,1.05E-06,-4.8,,,
1.06E-06,0.2,1.06E-06,-4.8,,,
1.07E-06,0.2,1.07E-06,-4.8,,,
1.08E-06,0.2,1.08E-06,-5,,,
1.09E-06,0.2,1.09E-06,-5,,,
1.10E-06,0.2,1.10E-06,-5,,,
1.11E-06,0.2,1.11E-06,-4.8,,,
1.12E-06,0.2,1.12E-06,-4.8,,,
1.13E-06,0.2,1.13E-06,-4.8,,,
1.14E-06,0.2,1.14E-06,-4.8,,,
1.15E-06,0.4,1.15E-06,-5.2,,,
1.16E-06,0.2,1.16E-06,-5,,,
1.17E-06,0.4,1.17E-06,-4.8,,,
1.18E-06,0.2,1.18E-06,-5.2,,,
1.19E-06,0.2,1.19E-06,-4.8,,,
1.20E-06,0.2,1.20E-06,-5.2,,,
1.21E-06,0.4,1.21E-06,-4.8,,,
1.22E-06,0.2,1.22E-06,-4.8,,,
1.23E-06,0.4,1.23E-06,-4.8,,,
1.24E-06,0.4,1.24E-06,-4.8,,,
1.25E-06,0.2,1.25E-06,-5.2,,,
1.26E-06,0.2,1.26E-06,-5.2,,,
1.27E-06,0.2,1.27E-06,-4.8,,,
1.28E-06,0.2,1.28E-06,-5,,,
1.29E-06,0.2,1.29E-06,-5,,,
1.30E-06,0.4,1.30E-06,-5.2,,,
1.31E-06,0.4,1.31E-06,-4.8,,,
1.32E-06,0.2,1.32E-06,-4.8,,,
1.33E-06,0.2,1.33E-06,-5,,,
1.34E-06,0.2,1.34E-06,-5,,,
1.35E-06,0,1.35E-06,-5.6,,,
1.36E-06,0.4,1.36E-06,-5,,,
