Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,,
0,0.2,0,-0.8,,,,1 khz
1.00E-06,0.4,1.00E-06,-0.8,,,,
2.00E-06,0.2,2.00E-06,-0.8,,,,
3.00E-06,0.2,3.00E-06,-0.8,,,,
4.00E-06,0.2,4.00E-06,-0.8,,,,
5.00E-06,0.4,5.00E-06,-0.8,,,,
6.00E-06,0.2,6.00E-06,-0.8,,,,
7.00E-06,0.2,7.00E-06,-1,,,,
8.00E-06,0.2,8.00E-06,-0.8,,,,
9.00E-06,0.2,9.00E-06,-0.8,,,,
1.00E-05,0.4,1.00E-05,-0.8,,,,
1.10E-05,0.2,1.10E-05,-0.8,,,,
1.20E-05,0.4,1.20E-05,-0.8,,,,
1.30E-05,0.2,1.30E-05,-0.8,,,,
1.40E-05,0.2,1.40E-05,-0.8,,,,
1.50E-05,0.2,1.50E-05,-0.8,,,,
1.60E-05,0.2,1.60E-05,-0.6,,,,
1.70E-05,0.4,1.70E-05,-0.8,,,,
1.80E-05,0.2,1.80E-05,-0.8,,,,
1.90E-05,0.2,1.90E-05,-0.8,,,,
2.00E-05,0.2,2.00E-05,-0.8,,,,
2.10E-05,0.2,2.10E-05,-0.8,,,,
2.20E-05,0.2,2.20E-05,-0.8,,,,
2.30E-05,0.2,2.30E-05,-0.8,,,,
2.40E-05,0.2,2.40E-05,-0.8,,,,
2.50E-05,0.2,2.50E-05,-0.6,,,,
2.60E-05,0.2,2.60E-05,-0.6,,,,
2.70E-05,0.2,2.70E-05,-0.6,,,,
2.80E-05,0.2,2.80E-05,-0.6,,,,
2.90E-05,0.2,2.90E-05,-0.8,,,,
3.00E-05,0.2,3.00E-05,-0.6,,,,
3.10E-05,0.2,3.10E-05,-0.8,,,,
3.20E-05,0.2,3.20E-05,-0.6,,,,
3.30E-05,0.4,3.30E-05,-0.6,,,,
3.40E-05,0.2,3.40E-05,-0.6,,,,
3.50E-05,0.4,3.50E-05,-0.6,,,,
3.60E-05,0.2,3.60E-05,-0.6,,,,
3.70E-05,0.4,3.70E-05,-0.6,,,,
3.80E-05,0.2,3.80E-05,-0.6,,,,
3.90E-05,0.4,3.90E-05,-0.6,,,,
4.00E-05,0.4,4.00E-05,-0.6,,,,
4.10E-05,0.2,4.10E-05,-0.6,,,,
4.20E-05,0.2,4.20E-05,-0.6,,,,
4.30E-05,0.2,4.30E-05,-0.6,,,,
4.40E-05,0.2,4.40E-05,-0.6,,,,
4.50E-05,0.2,4.50E-05,-0.6,,,,
4.60E-05,0.2,4.60E-05,-0.6,,,,
4.70E-05,0.2,4.70E-05,-0.6,,,,
4.80E-05,0.2,4.80E-05,-0.6,,,,
4.90E-05,0.2,4.90E-05,-0.6,,,,
5.00E-05,0.2,5.00E-05,-0.6,,,,
5.10E-05,0.4,5.10E-05,-0.6,,,,
5.20E-05,0.2,5.20E-05,-0.6,,,,
5.30E-05,0.2,5.30E-05,-0.6,,,,
5.40E-05,0.2,5.40E-05,-0.6,,,,
5.50E-05,0.2,5.50E-05,-0.6,,,,
5.60E-05,0.2,5.60E-05,-0.4,,,,
5.70E-05,0.2,5.70E-05,-0.6,,,,
5.80E-05,0.2,5.80E-05,-0.4,,,,
5.90E-05,0.4,5.90E-05,-0.4,,,,
6.00E-05,0.4,6.00E-05,-0.6,,,,
6.10E-05,0.2,6.10E-05,-0.4,,,,
6.20E-05,0.4,6.20E-05,-0.4,,,,
6.30E-05,0.2,6.30E-05,-0.4,,,,
6.40E-05,0.2,6.40E-05,-0.4,,,,
6.50E-05,0.2,6.50E-05,-0.4,,,,
6.60E-05,0.2,6.60E-05,-0.4,,,,
6.70E-05,0.2,6.70E-05,-0.4,,,,
6.80E-05,0.2,6.80E-05,-0.6,,,,
6.90E-05,0.2,6.90E-05,-0.6,,,,
7.00E-05,0.2,7.00E-05,-0.4,,,,
7.10E-05,0.2,7.10E-05,-0.4,,,,
7.20E-05,0.2,7.20E-05,-0.4,,,,
7.30E-05,0.2,7.30E-05,-0.4,,,,
7.40E-05,0.2,7.40E-05,-0.4,,,,
7.50E-05,0.2,7.50E-05,-0.4,,,,
7.60E-05,0.2,7.60E-05,-0.4,,,,
7.70E-05,0.2,7.70E-05,-0.4,,,,
7.80E-05,0.2,7.80E-05,-0.4,,,,
7.90E-05,0.2,7.90E-05,-0.4,,,,
8.00E-05,0.2,8.00E-05,-0.4,,,,
8.10E-05,0.4,8.10E-05,-0.4,,,,
8.20E-05,0.2,8.20E-05,-0.4,,,,
8.30E-05,0.2,8.30E-05,-0.4,,,,
8.40E-05,0.2,8.40E-05,-0.4,,,,
8.50E-05,0.4,8.50E-05,-0.4,,,,
8.60E-05,0.2,8.60E-05,-0.4,,,,
8.70E-05,0.4,8.70E-05,-0.4,,,,
8.80E-05,0.2,8.80E-05,-0.4,,,,
8.90E-05,0.2,8.90E-05,-0.4,,,,
9.00E-05,0.2,9.00E-05,-0.4,,,,
9.10E-05,0.2,9.10E-05,-0.4,,,,
9.20E-05,0.2,9.20E-05,-0.2,,,,
9.30E-05,0.2,9.30E-05,-0.2,,,,
9.40E-05,0.2,9.40E-05,-0.4,,,,
9.50E-05,0.2,9.50E-05,-0.4,,,,
9.60E-05,0.2,9.60E-05,-0.4,,,,
9.70E-05,0.2,9.70E-05,-0.4,,,,
9.80E-05,0.4,9.80E-05,-0.2,,,,
9.90E-05,0.2,9.90E-05,-0.4,,,,
0.0001,0.2,0.0001,-0.2,,,,
0.000101,0.2,0.000101,-0.4,,,,
0.000102,0.2,0.000102,-0.2,,,,
0.000103,0.2,0.000103,-0.4,,,,
0.000104,0.2,0.000104,-0.4,,,,
