Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,,
0,-0.4,0,0,,,,
1.00E-07,-0.6,1.00E-07,-0.2,,,,4d
2.00E-07,-0.8,2.00E-07,0,,,,waveform as a function of time
3.00E-07,-0.8,3.00E-07,-0.6,,,,
4.00E-07,-0.8,4.00E-07,-0.6,,,,
5.00E-07,-0.6,5.00E-07,-0.4,,,,
6.00E-07,-1,6.00E-07,0.2,,,,
7.00E-07,-0.6,7.00E-07,0.2,,,,
8.00E-07,-0.8,8.00E-07,0.2,,,,
9.00E-07,-1,9.00E-07,0.2,,,,
1.00E-06,-0.6,1.00E-06,0.4,,,,
1.10E-06,-0.6,1.10E-06,0.2,,,,
1.20E-06,-1,1.20E-06,0,,,,
1.30E-06,-0.8,1.30E-06,0.2,,,,
1.40E-06,-1,1.40E-06,0,,,,
1.50E-06,-1.2,1.50E-06,0,,,,
1.60E-06,-0.8,1.60E-06,0.2,,,,
1.70E-06,-0.4,1.70E-06,0.2,,,,
1.80E-06,-0.6,1.80E-06,0,,,,
1.90E-06,-0.8,1.90E-06,0.2,,,,
2.00E-06,-1,2.00E-06,0,,,,
2.10E-06,-1.2,2.10E-06,0.2,,,,
2.20E-06,-0.6,2.20E-06,0.4,,,,
2.30E-06,-0.8,2.30E-06,0.4,,,,
2.40E-06,-0.8,2.40E-06,0.2,,,,
2.50E-06,-1,2.50E-06,0.2,,,,
2.60E-06,-0.8,2.60E-06,0.2,,,,
2.70E-06,-1,2.70E-06,0.2,,,,
2.80E-06,-0.8,2.80E-06,0.4,,,,
2.90E-06,-1,2.90E-06,0.6,,,,
3.00E-06,-1,3.00E-06,0.2,,,,
3.10E-06,-1,3.10E-06,0.4,,,,
3.20E-06,-1,3.20E-06,0.4,,,,
3.30E-06,-0.6,3.30E-06,0.2,,,,
3.40E-06,-1,3.40E-06,0.4,,,,
3.50E-06,-1,3.50E-06,0.4,,,,
3.60E-06,-1,3.60E-06,0.4,,,,
3.70E-06,-0.8,3.70E-06,0.2,,,,
3.80E-06,-1,3.80E-06,0.4,,,,
3.90E-06,-1,3.90E-06,0.6,,,,
4.00E-06,-1,4.00E-06,0.6,,,,
4.10E-06,-1.2,4.10E-06,1,,,,
4.20E-06,-1,4.20E-06,0.6,,,,
4.30E-06,-0.6,4.30E-06,0.8,,,,
4.40E-06,-1.2,4.40E-06,0.4,,,,
4.50E-06,-1,4.50E-06,0.6,,,,
4.60E-06,-1,4.60E-06,0.8,,,,
4.70E-06,-1,4.70E-06,0.8,,,,
4.80E-06,-1,4.80E-06,0.8,,,,
4.90E-06,-0.8,4.90E-06,0.8,,,,
5.00E-06,-1,5.00E-06,0.8,,,,
5.10E-06,-0.6,5.10E-06,0.8,,,,
5.20E-06,-0.8,5.20E-06,0.8,,,,
5.30E-06,-0.8,5.30E-06,0.8,,,,
5.40E-06,-1.2,5.40E-06,1,,,,
5.50E-06,-0.8,5.50E-06,1,,,,
5.60E-06,-1,5.60E-06,1.2,,,,
5.70E-06,-1,5.70E-06,1,,,,
5.80E-06,-0.8,5.80E-06,1,,,,
5.90E-06,-0.8,5.90E-06,1,,,,
6.00E-06,-1,6.00E-06,1,,,,
6.10E-06,-1,6.10E-06,1.2,,,,
6.20E-06,-0.8,6.20E-06,1,,,,
6.30E-06,-1,6.30E-06,1.2,,,,
6.40E-06,-0.8,6.40E-06,1.2,,,,
6.50E-06,-1,6.50E-06,1.2,,,,
6.60E-06,-1,6.60E-06,1.2,,,,
6.70E-06,-0.8,6.70E-06,1,,,,
6.80E-06,-0.8,6.80E-06,1.2,,,,
6.90E-06,-1,6.90E-06,1.4,,,,
7.00E-06,-0.8,7.00E-06,1.2,,,,
7.10E-06,-0.8,7.10E-06,1.2,,,,
7.20E-06,-0.8,7.20E-06,1.4,,,,
7.30E-06,-0.8,7.30E-06,1.6,,,,
7.40E-06,-1,7.40E-06,1.8,,,,
7.50E-06,-1,7.50E-06,1.8,,,,
7.60E-06,-0.8,7.60E-06,1.6,,,,
7.70E-06,-0.8,7.70E-06,1.6,,,,
7.80E-06,-0.8,7.80E-06,1.8,,,,
7.90E-06,-0.8,7.90E-06,1.4,,,,
8.00E-06,-0.6,8.00E-06,1.6,,,,
8.10E-06,-0.8,8.10E-06,1.6,,,,
8.20E-06,-0.6,8.20E-06,1.8,,,,
8.30E-06,-0.6,8.30E-06,2,,,,
8.40E-06,-0.8,8.40E-06,1.8,,,,
8.50E-06,-0.6,8.50E-06,1.6,,,,
8.60E-06,-0.6,8.60E-06,1.8,,,,
8.70E-06,-0.6,8.70E-06,1.4,,,,
