5a - cr,,,,,,,
Frequency (kHz),Input pk-pk (V),Output pk-pk (V),Phase Displacement (us),A(v),Frequency (Hz),Phase Displacement (s),Phase Shift (rad)
0.001,2.16,0.08,0,0.037037037,1,0,0
0.005,2.12,0.08,0,0.037735849,5,0,0
0.01,2.12,0.08,0,0.037735849,10,0,0
0.05,2.12,0.12,5000,0.056603774,50,0.005,1.570796327
0.1,2.12,0.16,2400,0.075471698,100,0.0024,1.507964474
0.5,2.08,0.64,420,0.307692308,500,0.00042,1.319468915
1,2.08,1.2,150,0.576923077,1000,0.00015,0.942477796
5,2.24,2.08,10,0.928571429,5000,0.00001,0.314159265
10,2.28,2.2,2.8,0.964912281,10000,0.0000028,0.175929189
50,2.16,2.2,0,1.018518519,50000,0,0
100,2.2,2.2,0,1,100000,0,0
500,2.12,2.12,0,1,500000,0,0
1000,2.16,2.16,0,1,1000000,0,0
0.6,2.08,0.8,330,0.384615385,600,0.00033,1.244070691
0.7,2.08,0.96,260,0.461538462,700,0.00026,1.143539726
0.8,2.08,1.04,200,0.5,800,0.0002,1.005309649
2,2.24,1.8,48,0.803571429,2000,0.000048,0.603185789
3,2.24,1.96,26,0.875,3000,0.000026,0.490088454
4,2.24,2.08,14,0.928571429,4000,0.000014,0.351858377
7,2.24,2.2,3,0.982142857,7000,0.000003,0.131946891
