5a - rc,,,,,,,,,
Frequency (khz),Input pk-pk (v),Output pk-pk (V),Phase Displacement (us),A(v),Frequency (Hz),Phase Displacement (s),Phase Shift (rad),LOG(v),20*LOG(A(v))
0.001,2.12,2.08,0,0.981132075,1,0,0,0,-0.165450519
0.005,2.12,2.08,0,0.981132075,5,0,0,0.698970004,-0.165450519
0.01,2.12,2.08,0,0.981132075,10,0,0,1,-0.165450519
0.05,2.12,2.04,0,0.962264151,50,0,0,1.698970004,-0.33411387
0.1,2.08,2.08,0,1,100,0,0,2,0
0.5,2.08,2,120,0.961538462,500,0.00012,0.376991118,2.698970004,-0.340666786
1,2.2,1.92,112,0.872727273,1000,0.000112,0.703716754,3,-1.182429042
5,2.2,0.8,47,0.363636364,5000,0.000047,1.476548547,3.698970004,-8.786653877
10,2.16,0.52,23.2,0.240740741,10000,0.0000232,1.457698991,4,-12.36900815
50,2.16,0.32,5,0.148148148,50000,0.000005,1.570796327,4.698970004,-16.58607546
100,2.2,0.12,2.5,0.054545455,100000,0.0000025,1.570796327,5,-25.2648287
500,2.2,0.08,0.52,0.036363636,500000,0.00000052,1.63362818,5.698970004,-28.78665388
1000,2.16,0.12,0.28,0.055555556,1000000,0.00000028,1.759291886,6,-25.1054501
0.7,2.12,2,110,0.943396226,700,0.00011,0.483805269,2.84509804,-0.506117305
3,2.08,1.12,58,0.538461538,3000,0.000058,1.093274243,3.477121255,-5.376906246
0.3,2.12,2.12,100,1,300,0.0001,0.188495559,2.477121255,0
0.8,2.08,1.96,90,0.942307692,800,0.00009,0.452389342,2.903089987,-0.516145272
0.9,2.08,1.92,90.8,0.923076923,900,0.0000908,0.513461903,2.954242509,-0.695242125
2,2.08,1.44,72,0.692307692,2000,0.000072,0.904778684,3.301029996,-3.194016857
30,2.28,0.44,8.2,0.192982456,30000,0.0000082,1.545663586,4.477121255,-14.28964341
