Time (s),Vout (V)
0,-0.08
4.00E-08,-0.24
8.00E-08,-0.08
1.20E-07,-0.16
1.60E-07,-0.24
2.00E-07,0
2.40E-07,-0.08
2.80E-07,-0.08
3.20E-07,-0.08
3.60E-07,-0.16
4.00E-07,0
4.40E-07,-0.08
4.80E-07,-0.08
5.20E-07,0
5.60E-07,-0.08
6.00E-07,-0.16
6.40E-07,-0.08
6.80E-07,-0.16
7.20E-07,-0.08
7.60E-07,-0.08
8.00E-07,-0.16
8.40E-07,-0.16
8.80E-07,-0.16
9.20E-07,-0.08
9.60E-07,-0.08
1.00E-06,-0.16
1.04E-06,-0.16
1.08E-06,-0.16
1.12E-06,-0.24
1.16E-06,-0.16
1.20E-06,-0.08
1.24E-06,-0.16
1.28E-06,-0.08
1.32E-06,-0.16
1.36E-06,-0.08
1.40E-06,-0.08
1.44E-06,-0.08
1.48E-06,-0.16
1.52E-06,-0.16
1.56E-06,-0.16
1.60E-06,-0.16
1.64E-06,-0.24
1.68E-06,-0.16
1.72E-06,-0.08
1.76E-06,-0.16
1.80E-06,0
1.84E-06,-0.16
1.88E-06,-0.16
1.92E-06,-0.16
1.96E-06,-0.16
2.00E-06,0.08
2.04E-06,-0.08
2.08E-06,-0.24
2.12E-06,-0.08
2.16E-06,-0.08
2.20E-06,-0.08
2.24E-06,-0.08
2.28E-06,-0.08
2.32E-06,-0.08
2.36E-06,-0.16
2.40E-06,0.08
2.44E-06,-0.16
2.48E-06,-0.08
2.52E-06,-0.16
2.56E-06,-0.24
2.60E-06,-0.16
2.64E-06,-0.08
2.68E-06,0
2.72E-06,-0.08
2.76E-06,-0.16
2.80E-06,0
2.84E-06,-0.16
2.88E-06,-0.08
2.92E-06,-0.16
2.96E-06,0
3.00E-06,-0.24
3.04E-06,-0.16
3.08E-06,-0.16
3.12E-06,0
3.16E-06,-0.08
3.20E-06,-0.16
3.24E-06,-0.16
3.28E-06,-0.08
3.32E-06,-0.16
3.36E-06,-0.08
3.40E-06,-0.16
3.44E-06,-0.16
3.48E-06,-0.08
3.52E-06,-0.16
3.56E-06,-0.16
3.60E-06,-0.08
3.64E-06,-0.08
3.68E-06,-0.08
3.72E-06,-0.08
3.76E-06,-0.08
3.80E-06,-0.08
3.84E-06,0
3.88E-06,0.08
3.92E-06,-0.16
3.96E-06,-0.16
4.00E-06,-0.16
4.04E-06,-0.08
4.08E-06,-0.08
4.12E-06,-0.24
4.16E-06,0
4.20E-06,-0.16
4.24E-06,-0.08
4.28E-06,-0.16
4.32E-06,-0.16
4.36E-06,0
4.40E-06,0
4.44E-06,-0.16
4.48E-06,-0.08
4.52E-06,-0.16
4.56E-06,-0.24
4.60E-06,-0.16
4.64E-06,-0.08
4.68E-06,-0.08
4.72E-06,-0.16
4.76E-06,-0.16
4.80E-06,-0.08
4.84E-06,-0.16
4.88E-06,-0.08
4.92E-06,-0.08
4.96E-06,-0.16
5.00E-06,-0.08
5.04E-06,-0.16
5.08E-06,-0.08
5.12E-06,-0.16
5.16E-06,-0.08
5.20E-06,0
5.24E-06,-0.16
5.28E-06,-0.16
5.32E-06,-0.08
5.36E-06,-0.08
5.40E-06,-0.16
5.44E-06,-0.16
5.48E-06,-0.08
5.52E-06,-0.08
5.56E-06,-0.32
5.60E-06,-0.16
5.64E-06,-0.08
5.68E-06,-0.08
5.72E-06,0
5.76E-06,0
5.80E-06,-0.08
5.84E-06,-0.08
5.88E-06,-0.16
5.92E-06,-0.16
5.96E-06,0.08
6.00E-06,0
6.04E-06,-0.08
6.08E-06,-0.08
6.12E-06,-0.08
6.16E-06,-0.16
6.20E-06,-0.08
6.24E-06,0
6.28E-06,-0.24
6.32E-06,-0.08
6.36E-06,0
6.40E-06,-0.16
6.44E-06,-0.16
6.48E-06,-0.08
6.52E-06,-0.08
6.56E-06,-0.08
6.60E-06,-0.08
6.64E-06,0
6.68E-06,-0.16
6.72E-06,-0.16
6.76E-06,-0.08
6.80E-06,-0.08
6.84E-06,-0.08
6.88E-06,-0.16
6.92E-06,-0.08
6.96E-06,-0.08
7.00E-06,0
7.04E-06,-0.08
7.08E-06,-0.08
7.12E-06,-0.16
7.16E-06,-0.16
7.20E-06,-0.08
7.24E-06,0
7.28E-06,0
7.32E-06,-0.16
7.36E-06,-0.16
7.40E-06,-0.08
7.44E-06,0
7.48E-06,-0.08
7.52E-06,0
7.56E-06,-0.08
7.60E-06,-0.16
7.64E-06,-0.16
7.68E-06,-0.16
7.72E-06,-0.08
7.76E-06,-0.16
7.80E-06,-0.16
7.84E-06,-0.08
7.88E-06,-0.16
7.92E-06,-0.16
7.96E-06,-0.16
8.00E-06,-0.08
8.04E-06,-0.16
8.08E-06,-0.24
8.12E-06,-0.08
8.16E-06,-0.08
8.20E-06,-0.16
8.24E-06,-0.08
8.28E-06,-0.16
8.32E-06,-0.08
8.36E-06,-0.16
8.40E-06,-0.16
8.44E-06,-0.08
8.48E-06,-0.16
8.52E-06,-0.32
8.56E-06,-0.08
8.60E-06,-0.08
8.64E-06,-0.08
8.68E-06,-0.08
8.72E-06,-0.08
8.76E-06,-0.08
8.80E-06,-0.08
8.84E-06,-0.08
8.88E-06,-0.08
8.92E-06,-0.16
8.96E-06,-0.16
9.00E-06,-0.24
9.04E-06,-0.08
9.08E-06,-0.08
9.12E-06,-0.08
9.16E-06,0
9.20E-06,0
9.24E-06,-0.16
9.28E-06,-0.08
9.32E-06,-0.08
9.36E-06,-0.08
9.40E-06,-0.16
9.44E-06,-0.08
9.48E-06,-0.08
9.52E-06,-0.24
9.56E-06,-0.24
9.60E-06,0
9.64E-06,-0.08
9.68E-06,0
9.72E-06,0
9.76E-06,-0.16
9.80E-06,-0.16
9.84E-06,-0.08
9.88E-06,-0.08
9.92E-06,-0.08
9.96E-06,-0.16
1.00E-05,-0.24
1.00E-05,-0.08
1.01E-05,0
1.01E-05,-0.08
1.02E-05,-0.08
1.02E-05,-0.08
1.02E-05,-0.08
1.03E-05,-0.16
1.03E-05,-0.08
1.04E-05,-0.08
1.04E-05,-0.08
1.04E-05,-0.08
1.05E-05,-0.16
1.05E-05,-0.08
1.06E-05,0
1.06E-05,0
1.06E-05,-0.08
1.07E-05,-0.16
1.07E-05,-0.08
1.08E-05,-0.16
1.08E-05,-0.08
1.08E-05,-0.08
1.09E-05,-0.08
1.09E-05,-0.16
1.10E-05,-0.08
1.10E-05,-0.08
1.10E-05,0
1.11E-05,-0.16
1.11E-05,-0.08
1.12E-05,-0.16
1.12E-05,-0.08
1.12E-05,-0.08
1.13E-05,0
1.13E-05,-0.08
1.14E-05,-0.08
1.14E-05,-0.08
1.14E-05,-0.08
1.15E-05,-0.16
1.15E-05,-0.08
1.16E-05,-0.16
1.16E-05,-0.08
1.16E-05,-0.08
1.17E-05,-0.08
1.17E-05,-0.16
1.18E-05,-0.08
1.18E-05,0.08
1.18E-05,0
1.19E-05,-0.24
1.19E-05,0
1.20E-05,-0.08
1.20E-05,-0.08
1.20E-05,-0.32
1.21E-05,0
1.21E-05,-0.08
1.22E-05,-0.08
1.22E-05,-0.32
1.22E-05,-0.24
1.23E-05,-0.08
1.23E-05,-0.08
1.24E-05,-0.16
1.24E-05,-0.08
1.24E-05,-0.16
1.25E-05,-0.24
1.25E-05,-0.08
1.26E-05,-0.08
1.26E-05,-0.08
1.26E-05,-0.16
1.27E-05,-0.08
1.27E-05,0
1.28E-05,-0.24
1.28E-05,-0.08
1.28E-05,-0.24
1.29E-05,-0.08
1.29E-05,-0.08
1.30E-05,-0.16
1.30E-05,-0.08
1.30E-05,-0.08
1.31E-05,-0.16
1.31E-05,-0.08
1.32E-05,0
1.32E-05,-0.08
1.32E-05,-0.08
1.33E-05,-0.08
1.33E-05,-0.08
1.34E-05,-0.08
1.34E-05,-0.08
1.34E-05,-0.16
1.35E-05,-0.16
1.35E-05,-0.24
1.36E-05,-0.08
1.36E-05,-0.08
1.36E-05,-0.08
1.37E-05,-0.08
1.37E-05,-0.16
1.38E-05,-0.08
1.38E-05,-0.08
1.38E-05,0
1.39E-05,0.08
1.39E-05,-0.08
1.40E-05,-0.08
1.40E-05,0
1.40E-05,-0.16
1.41E-05,-0.16
1.41E-05,-0.08
1.42E-05,0.08
1.42E-05,-0.08
1.42E-05,-0.16
1.43E-05,-0.08
1.43E-05,0
1.44E-05,-0.16
1.44E-05,0
1.44E-05,-0.08
1.45E-05,-0.08
1.45E-05,-0.08
1.46E-05,-0.08
1.46E-05,-0.08
1.46E-05,-0.08
1.47E-05,-0.08
1.47E-05,-0.08
1.48E-05,0
1.48E-05,-0.08
1.48E-05,-0.16
1.49E-05,-0.16
1.49E-05,-0.08
1.50E-05,-0.08
1.50E-05,-0.08
1.50E-05,-0.16
1.51E-05,-0.16
1.51E-05,-0.16
1.52E-05,0
1.52E-05,-0.08
1.52E-05,-0.08
1.53E-05,-0.16
1.53E-05,-0.16
1.54E-05,-0.08
1.54E-05,-0.08
1.54E-05,-0.16
1.55E-05,-0.16
1.55E-05,-0.08
1.56E-05,-0.16
1.56E-05,-0.08
1.56E-05,-0.08
1.57E-05,-0.08
1.57E-05,-0.08
1.58E-05,0.08
1.58E-05,-0.16
1.58E-05,-0.16
1.59E-05,-0.08
1.59E-05,-0.08
1.60E-05,-0.16
1.60E-05,-0.4
1.60E-05,0
1.61E-05,-0.08
1.61E-05,-0.08
1.62E-05,-0.08
1.62E-05,-0.24
1.62E-05,-0.08
1.63E-05,-0.08
1.63E-05,-0.08
1.64E-05,-0.08
1.64E-05,-0.16
1.64E-05,-0.24
1.65E-05,0
1.65E-05,-0.08
1.66E-05,-0.08
1.66E-05,-0.08
1.66E-05,0
1.67E-05,-0.16
1.67E-05,-0.16
