"2a,b-LR",,,,,,,,,,,,
Frequency (khz),Input pk-pk (v),Output pk-pk (V),Phase Displacement (us),A(v),Frequency (Hz),Phase Displacement (s),Phase Shift (deg),LOG(v),Experimental,A(v) - Theoritical,Theoretical,Phase Shift - Theoretical
0.001,3.92,3.92,0,1,1,0,0,0,0,1,-0.0000000004342945178,-0.0005729577951
0.005,3.92,3.92,2000,1,5,0.002,-3.6,0.6989700043,0,0.9999999988,-0.00000001085736102,-0.002864788973
0.01,3.92,3.92,1000,1,10,0.001,-3.6,1,0,0.999999995,-0.00000004342944803,-0.005729577932
0.05,4,3.92,0,0.98,50,0,0,1.698970004,-0.1754784862,0.999999875,-0.000001085736068,-0.02864788737
0.1,4,3.92,0,0.98,100,0,0,2,-0.1754784862,0.9999995,-0.000004342942648,-0.05729576041
0.5,4.16,3.92,0,0.9423076923,500,0,0,2.698970004,-0.5161452721,0.9999875002,-0.0001085722633,-0.2864765103
1,4.16,3.92,0,0.9423076923,1000,0,0,3,-0.5161452721,0.9999500037,-0.0004342727686,-0.5729386977
5,4.4,4.16,11,0.9454545455,5000,0.000011,-19.8,3.698970004,-0.4871869172,0.9987523389,-0.01084381292,-2.862405226
10,4.32,3.68,9,0.8518518519,10000,0.000009,-32.4,4,-1.392718563,0.9950371902,-0.04321373783,-5.710593137
50,4.48,1.76,4,0.3928571429,50000,0.000004,-72,4.698970004,-8.115306924,0.894427191,-0.9691001301,-26.56505118
100,4.4,1.04,2.2,0.2363636364,100000,0.0000022,-79.2,5,-12.52838674,0.7071067812,-3.010299957,-45
500,4.32,0.3,Can't measure,0.06944444444,500000,,0,5.698970004,-23.16724984,0.1961161351,-14.14973348,-78.69006753
1000,4.32,0.56,Can't measure,0.1296296296,1000000,,0,6,-17.7459144,0.09950371902,-20.04321374,-84.28940686
0.03,3.92,3.92,200,1,30,0.0002,-2.16,1.477121255,0,0.999999955,-0.0000003908650151,-0.01718873334
2,4.32,4.16,4,0.962962963,2000,0.000004,-2.88,3.301029996,-0.3278083238,0.99980006,-0.001736830585,-1.145762838
3,4.24,4.16,8,0.9811320755,3000,0.000008,-8.64,3.477121255,-0.1654505193,0.9995503035,-0.003906892499,-1.718358002
30,4.4,2.32,6,0.5272727273,30000,0.000006,-64.8,4.477121255,-5.559293832,0.9578262852,-0.3742649794,-16.69924423
70,4.32,1.28,2.8,0.2962962963,70000,0.0000028,-70.56,4.84509804,-10.56547554,0.8192319205,-1.731862684,-34.9920202
0.003,3.92,3.92,4000,1,3,0.004,-4.32,0.4771212547,0,0.9999999996,-0.000000003908650661,-0.001718873385
0.004,3.92,3.92,4000,1,4,0.004,-5.76,0.6020599913,0,0.9999999992,-0.00000000694871036,-0.002291831179
