Time - Plot 0,Amplitude - Plot 0
0,0
2.00E-05,0.24
4.00E-05,-0.08
6.00E-05,0.08
8.00E-05,-0.08
0.0001,0.08
0.00012,-0.16
0.00014,0
0.00016,-0.24
0.00018,-0.08
0.0002,-0.24
0.00022,-0.08
0.00024,-0.32
0.00026,-0.16
0.00028,-0.32
0.0003,-0.16
0.00032,-0.48
0.00034,-0.32
0.00036,-0.4
0.00038,-0.24
0.0004,-0.48
0.00042,-0.32
0.00044,-0.64
0.00046,-0.4
0.00048,-0.56
0.0005,-0.48
0.00052,-0.64
0.00054,-0.56
0.00056,-0.72
0.00058,-0.56
0.0006,-0.8
0.00062,-0.64
0.00064,-0.72
0.00066,-0.64
0.00068,-0.88
0.0007,-0.72
0.00072,-0.88
0.00074,-0.8
0.00076,-0.88
0.00078,-0.8
0.0008,-0.96
0.00082,-0.88
0.00084,-1.04
0.00086,-0.88
0.00088,-1.04
0.0009,-0.96
0.00092,-1.12
0.00094,-1.04
0.00096,-1.2
0.00098,-1.04
0.001,-1.2
0.00102,-1.04
0.00104,-1.28
0.00106,-1.12
0.00108,-1.28
0.0011,-1.04
0.00112,-1.28
0.00114,-1.2
0.00116,-1.36
0.00118,-1.12
0.0012,-1.36
0.00122,-1.2
0.00124,-1.36
0.00126,-1.28
0.00128,-1.44
0.0013,-1.36
0.00132,-1.44
0.00134,-1.36
0.00136,-1.52
0.00138,-1.44
0.0014,-1.68
0.00142,-1.44
0.00144,-1.52
0.00146,-1.44
0.00148,-1.6
0.0015,-1.44
0.00152,-1.6
0.00154,-1.44
0.00156,-1.68
0.00158,-1.52
0.0016,-1.68
0.00162,-1.6
0.00164,-1.68
0.00166,-1.52
0.00168,-1.76
0.0017,-1.6
0.00172,-1.84
0.00174,-1.68
0.00176,-1.84
0.00178,-1.6
0.0018,-1.84
0.00182,-1.68
0.00184,-1.92
0.00186,-1.76
0.00188,-1.92
0.0019,-1.68
0.00192,-1.84
0.00194,-1.68
0.00196,-1.92
0.00198,-1.84
0.002,-2
0.00202,-1.84
0.00204,-2
0.00206,-1.76
0.00208,-2.08
0.0021,-1.84
0.00212,-1.92
0.00214,-1.76
0.00216,-2.08
0.00218,-1.84
0.0022,-2
0.00222,-1.92
0.00224,-2.08
0.00226,-1.92
0.00228,-2.08
0.0023,-1.92
0.00232,-2
0.00234,-1.92
0.00236,-2.08
0.00238,-1.84
0.0024,-2
0.00242,-1.84
0.00244,-2.08
0.00246,-1.92
0.00248,-2.08
0.0025,-1.92
0.00252,-2.08
0.00254,-1.92
0.00256,-2.08
0.00258,-1.92
0.0026,-2
0.00262,-1.92
0.00264,-2
0.00266,-1.92
0.00268,-2
0.0027,-1.92
0.00272,-2.08
0.00274,-1.92
0.00276,-2
0.00278,-1.92
0.0028,-2.08
0.00282,-1.92
0.00284,-2
0.00286,-1.84
0.00288,-2.08
0.0029,-1.92
0.00292,-2
0.00294,-1.76
0.00296,-2
0.00298,-1.84
0.003,-2
0.00302,-1.84
0.00304,-2
0.00306,-1.76
0.00308,-1.92
0.0031,-1.84
0.00312,-1.92
0.00314,-1.76
0.00316,-1.92
0.00318,-1.76
0.0032,-1.84
0.00322,-1.76
0.00324,-1.84
0.00326,-1.6
0.00328,-1.92
0.0033,-1.68
0.00332,-1.84
0.00334,-1.6
0.00336,-1.68
0.00338,-1.6
0.0034,-1.68
0.00342,-1.6
0.00344,-1.76
0.00346,-1.52
0.00348,-1.6
0.0035,-1.52
0.00352,-1.6
0.00354,-1.52
0.00356,-1.68
0.00358,-1.44
0.0036,-1.68
0.00362,-1.36
0.00364,-1.52
0.00366,-1.44
0.00368,-1.52
0.0037,-1.36
0.00372,-1.44
0.00374,-1.36
0.00376,-1.44
0.00378,-1.36
0.0038,-1.44
0.00382,-1.28
0.00384,-1.36
0.00386,-1.2
0.00388,-1.36
0.0039,-1.2
0.00392,-1.28
0.00394,-1.2
0.00396,-1.2
0.00398,-1.12
0.004,-1.28
0.00402,-1.04
0.00404,-1.2
0.00406,-1.04
0.00408,-1.12
0.0041,-0.96
0.00412,-1.04
0.00414,-0.96
0.00416,-1.04
0.00418,-0.88
0.0042,-0.96
0.00422,-0.88
0.00424,-0.96
0.00426,-0.8
0.00428,-0.88
0.0043,-0.72
0.00432,-0.8
0.00434,-0.72
0.00436,-0.8
0.00438,-0.64
0.0044,-0.72
0.00442,-0.56
