Time - Plot 0,Input,Output
0,-1.48,-0.84
1.00E-07,-1.48,-0.88
2.00E-07,-1.44,-0.8
3.00E-07,-1.48,-0.8
4.00E-07,-1.44,-0.76
5.00E-07,-1.56,-0.76
6.00E-07,-1.48,-0.76
7.00E-07,-1.44,-0.8
8.00E-07,-1.48,-0.8
9.00E-07,-1.4,-0.76
1.00E-06,-1.48,-0.76
1.10E-06,-1.48,-0.8
1.20E-06,-1.52,-0.76
1.30E-06,-1.48,-0.76
1.40E-06,-1.48,-0.76
1.50E-06,-1.44,-0.76
1.60E-06,-1.48,-0.8
1.70E-06,-1.52,-0.84
1.80E-06,-1.48,-0.76
1.90E-06,-1.44,-0.76
2.00E-06,-1.44,-0.8
2.10E-06,-1.4,-0.76
2.20E-06,-1.44,-0.76
2.30E-06,-1.44,-0.8
2.40E-06,-1.52,-0.8
2.50E-06,-1.44,-0.8
2.60E-06,-1.44,-0.76
2.70E-06,-1.4,-0.8
2.80E-06,-1.44,-0.8
2.90E-06,-1.48,-0.8
3.00E-06,-1.44,-0.8
3.10E-06,-1.36,-0.76
3.20E-06,-1.52,-0.76
3.30E-06,-1.4,-0.76
3.40E-06,-1.48,-0.8
3.50E-06,-1.44,-0.76
3.60E-06,-1.44,-0.76
3.70E-06,-1.36,-0.76
3.80E-06,-1.44,-0.76
3.90E-06,-1.44,-0.8
4.00E-06,-1.48,-0.76
4.10E-06,-1.44,-0.76
4.20E-06,-1.48,-0.76
4.30E-06,-1.44,-0.76
4.40E-06,-1.44,-0.72
4.50E-06,-1.4,-0.72
4.60E-06,-1.36,-0.72
4.70E-06,-1.48,-0.76
4.80E-06,-1.48,-0.68
4.90E-06,-1.44,-0.76
5.00E-06,-1.44,-0.76
5.10E-06,-1.4,-0.68
5.20E-06,-1.4,-0.68
5.30E-06,-1.44,-0.76
5.40E-06,-1.4,-0.68
5.50E-06,-1.36,-0.76
5.60E-06,-1.36,-0.72
5.70E-06,-1.4,-0.72
5.80E-06,-1.44,-0.72
5.90E-06,-1.44,-0.72
6.00E-06,-1.44,-0.68
6.10E-06,-1.36,-0.76
6.20E-06,-1.4,-0.72
6.30E-06,-1.4,-0.68
6.40E-06,-1.4,-0.64
6.50E-06,-1.4,-0.72
6.60E-06,-1.4,-0.76
6.70E-06,-1.4,-0.76
6.80E-06,-1.36,-0.72
6.90E-06,-1.4,-0.68
7.00E-06,-1.4,-0.68
7.10E-06,-1.4,-0.72
7.20E-06,-1.4,-0.6
7.30E-06,-1.32,-0.72
7.40E-06,-1.36,-0.64
7.50E-06,-1.28,-0.6
7.60E-06,-1.36,-0.64
7.70E-06,-1.4,-0.68
7.80E-06,-1.36,-0.6
7.90E-06,-1.28,-0.64
8.00E-06,-1.36,-0.6
8.10E-06,-1.28,-0.6
8.20E-06,-1.36,-0.6
8.30E-06,-1.32,-0.72
8.40E-06,-1.24,-0.56
8.50E-06,-1.28,-0.64
8.60E-06,-1.32,-0.6
8.70E-06,-1.28,-0.6
8.80E-06,-1.32,-0.64
8.90E-06,-1.2,-0.6
9.00E-06,-1.28,-0.52
9.10E-06,-1.28,-0.68
9.20E-06,-1.28,-0.64
9.30E-06,-1.24,-0.68
9.40E-06,-1.24,-0.6
9.50E-06,-1.24,-0.56
9.60E-06,-1.24,-0.52
9.70E-06,-1.2,-0.56
9.80E-06,-1.24,-0.56
9.90E-06,-1.28,-0.64
1.00E-05,-1.24,-0.64
1.01E-05,-1.24,-0.6
1.02E-05,-1.24,-0.6
1.03E-05,-1.2,-0.56
1.04E-05,-1.28,-0.52
1.05E-05,-1.24,-0.56
1.06E-05,-1.24,-0.52
1.07E-05,-1.2,-0.6
1.08E-05,-1.12,-0.52
1.09E-05,-1.2,-0.52
1.10E-05,-1.2,-0.52
1.11E-05,-1.2,-0.52
1.12E-05,-1.24,-0.48
1.13E-05,-1.12,-0.52
1.14E-05,-1.16,-0.48
1.15E-05,-1.2,-0.52
1.16E-05,-1.16,-0.56
1.17E-05,-1.2,-0.48
1.18E-05,-1.12,-0.52
1.19E-05,-1.12,-0.48
1.20E-05,-1.08,-0.44
