Time - Plot 0,Amplitude - Plot 1,Amplitude - Plot 0
0,3,0.8
4.00E-08,2.8,0.2
8.00E-08,3,0.4
1.20E-07,2.6,0.4
1.60E-07,2.6,0.2
2.00E-07,2.8,0.6
2.40E-07,2.6,0.2
2.80E-07,2.4,0
3.20E-07,2.8,-0.4
3.60E-07,2.4,0
4.00E-07,2.4,-0.4
4.40E-07,2.8,-0.4
4.80E-07,2.6,-0.4
5.20E-07,2.4,-0.4
5.60E-07,2.4,-0.4
6.00E-07,2.4,-0.2
6.40E-07,2.4,-0.6
6.80E-07,2.4,-0.6
7.20E-07,2.4,-0.6
7.60E-07,2.6,-0.8
8.00E-07,2.2,-1
8.40E-07,2.4,-1.2
8.80E-07,2.4,-1
9.20E-07,2.2,-1
9.60E-07,2.2,-1
1.00E-06,2.2,-1
1.04E-06,2.2,-1.4
1.08E-06,2.2,-1.2
1.12E-06,2.2,-1.2
1.16E-06,2.2,-1.4
1.20E-06,2,-1.4
1.24E-06,2.2,-1.6
1.28E-06,2.2,-1.6
1.32E-06,2.2,-1.2
1.36E-06,2,-1.6
1.40E-06,1.8,-1.6
1.44E-06,2,-1.6
1.48E-06,2,-1.8
1.52E-06,1.8,-2
1.56E-06,1.8,-2
1.60E-06,1.6,-2
1.64E-06,1.8,-2.2
1.68E-06,1.8,-2
1.72E-06,1.6,-2.4
1.76E-06,1.6,-2.2
1.80E-06,1.8,-2.6
1.84E-06,1.6,-2.4
1.88E-06,1.4,-2.4
1.92E-06,1.6,-2.4
1.96E-06,1.6,-2.8
2.00E-06,1.4,-2.6
2.04E-06,1.4,-2.6
2.08E-06,1.6,-2.8
2.12E-06,1.4,-2.8
2.16E-06,1.4,-2.8
2.20E-06,1.6,-3
2.24E-06,1.2,-3
2.28E-06,1.4,-2.8
2.32E-06,1.4,-3.2
2.36E-06,1.2,-3.2
2.40E-06,1.2,-3
2.44E-06,1.2,-3.4
2.48E-06,1.2,-3.4
2.52E-06,1.4,-3.2
2.56E-06,1.2,-3.2
2.60E-06,1.2,-3.4
2.64E-06,1.2,-3.2
2.68E-06,1.2,-3.6
2.72E-06,1.2,-3.6
2.76E-06,1,-3.4
2.80E-06,1,-3.6
2.84E-06,1,-3.8
2.88E-06,1,-3.8
2.92E-06,1,-3.8
2.96E-06,1,-3.6
3.00E-06,1,-3.6
3.04E-06,0.8,-4
3.08E-06,0.8,-4.2
3.12E-06,0.8,-4
3.16E-06,0.8,-4
3.20E-06,0.8,-4.2
3.24E-06,0.6,-4.2
3.28E-06,0.6,-4.4
3.32E-06,1,-4
3.36E-06,0.6,-4.2
3.40E-06,0.8,-4.2
3.44E-06,0.8,-4.4
3.48E-06,0.6,-4.2
3.52E-06,0.6,-4.4
3.56E-06,0.4,-4.4
3.60E-06,0.8,-4.4
3.64E-06,0.4,-4.4
3.68E-06,0.4,-4.4
3.72E-06,0.6,-4.4
3.76E-06,0.6,-4.2
3.80E-06,0.4,-4.6
3.84E-06,0.4,-4.8
3.88E-06,0.6,-4.6
3.92E-06,0.4,-4.8
3.96E-06,0.2,-4.8
4.00E-06,0.2,-5
4.04E-06,0.2,-4.6
4.08E-06,0.4,-4.6
4.12E-06,0.2,-4.8
4.16E-06,0.2,-4.6
4.20E-06,0.2,-4.6
4.24E-06,0,-4.8
4.28E-06,0.2,-5
4.32E-06,0.2,-5
4.36E-06,0,-4.8
4.40E-06,0,-5.2
4.44E-06,0.2,-5
4.48E-06,0,-4.8
4.52E-06,0,-5
4.56E-06,-0.2,-5
4.60E-06,-0.2,-5.2
4.64E-06,0,-5
4.68E-06,0,-5
4.72E-06,0,-5.2
4.76E-06,-0.4,-4.8
4.80E-06,-0.4,-5.2
4.84E-06,-0.2,-5
4.88E-06,-0.4,-5
4.92E-06,-0.2,-5.2
4.96E-06,-0.2,-5.2
5.00E-06,-0.4,-5.2
5.04E-06,-0.4,-5
5.08E-06,-0.4,-5
5.12E-06,-0.6,-5
5.16E-06,-0.4,-5.2
5.20E-06,-0.4,-5.4
5.24E-06,-0.2,-5
5.28E-06,-0.6,-5.2
5.32E-06,-0.6,-5
5.36E-06,-0.8,-5
5.40E-06,-0.4,-5.2
5.44E-06,-0.6,-5.2
5.48E-06,-0.6,-5
5.52E-06,-0.6,-5
5.56E-06,-0.6,-5.2
5.60E-06,-0.6,-5
5.64E-06,-0.8,-4.8
5.68E-06,-0.8,-5
5.72E-06,-0.8,-4.8
5.76E-06,-0.8,-5
5.80E-06,-0.8,-5
5.84E-06,-1,-5
5.88E-06,-0.8,-5
5.92E-06,-0.8,-5
5.96E-06,-0.8,-4.8
6.00E-06,-1,-4.8
6.04E-06,-0.6,-5
6.08E-06,-1,-5
6.12E-06,-0.8,-5
6.16E-06,-1,-5
6.20E-06,-1,-4.8
6.24E-06,-1,-4.8
6.28E-06,-1,-5
6.32E-06,-1.2,-4.8
6.36E-06,-1.2,-4.8
6.40E-06,-1,-5
6.44E-06,-1,-4.8
6.48E-06,-1,-4.8
6.52E-06,-1.2,-4.8
6.56E-06,-1.4,-4.8
6.60E-06,-1.4,-4.6
6.64E-06,-1.4,-4.6
6.68E-06,-1.4,-4.8
6.72E-06,-1.4,-4.6
6.76E-06,-1.2,-4.6
6.80E-06,-1.4,-4.4
6.84E-06,-1.4,-4.6
6.88E-06,-1.4,-4.4
6.92E-06,-1.2,-4.6
6.96E-06,-1.6,-4.2
7.00E-06,-1.6,-4.6
7.04E-06,-1.6,-4.4
7.08E-06,-1.8,-4.2
7.12E-06,-1.6,-4.2
7.16E-06,-1.8,-4.2
7.20E-06,-1.8,-4
7.24E-06,-1.6,-4.4
7.28E-06,-1.6,-4
7.32E-06,-1.8,-4.2
7.36E-06,-2,-4
7.40E-06,-1.8,-3.8
7.44E-06,-2,-4
7.48E-06,-1.6,-3.8
7.52E-06,-1.8,-3.8
7.56E-06,-2,-3.8
7.60E-06,-1.8,-4
7.64E-06,-2,-3.8
7.68E-06,-1.8,-3.8
7.72E-06,-2,-3.2
7.76E-06,-2,-3.8
7.80E-06,-2,-3.8
7.84E-06,-2,-3.6
7.88E-06,-2.2,-3.4
7.92E-06,-2,-3.4
7.96E-06,-2,-3.6
8.00E-06,-2.2,-3.2
8.04E-06,-2.2,-3
8.08E-06,-2.4,-3.4
8.12E-06,-2.4,-3
8.16E-06,-2,-3.2
8.20E-06,-2.6,-3.2
8.24E-06,-2.2,-3
8.28E-06,-2.4,-3
8.32E-06,-2.4,-3
8.36E-06,-2.2,-3
8.40E-06,-2.2,-2.8
8.44E-06,-2.6,-2.8
8.48E-06,-2.2,-2.8
8.52E-06,-2.4,-2.6
8.56E-06,-2.6,-2.8
8.60E-06,-2.4,-2.6
8.64E-06,-2.6,-2.4
8.68E-06,-2.4,-2.2
8.72E-06,-2.6,-2.4
8.76E-06,-2.6,-2.4
8.80E-06,-2.6,-2.2
8.84E-06,-2.8,-2.2
8.88E-06,-2.4,-2.2
8.92E-06,-2.6,-2.2
8.96E-06,-2.6,-2.2
9.00E-06,-2.6,-2
9.04E-06,-2.6,-1.8
9.08E-06,-2.4,-1.8
9.12E-06,-2.4,-2
9.16E-06,-2,-1.8
9.20E-06,-2.2,-1.8
9.24E-06,-2.2,-1.4
