Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1
0,-13.6,0,-6.8
4.00E-05,2.6,4.00E-05,-6.8
8.00E-05,14.6,8.00E-05,-6.8
0.00012,14.6,0.00012,-6.8
0.00016,14.4,0.00016,-6.6
0.0002,14.4,0.0002,-6.4
0.00024,14.6,0.00024,-6.4
0.00028,14.4,0.00028,-6.2
0.00032,14.4,0.00032,-6.2
0.00036,14.4,0.00036,-6.2
0.0004,14.4,0.0004,-6.2
0.00044,14.6,0.00044,-6
0.00048,14.4,0.00048,-6
0.00052,14.4,0.00052,-5.8
0.00056,14.4,0.00056,-5.8
0.0006,14.4,0.0006,-5.6
0.00064,14.4,0.00064,-5.6
0.00068,14.4,0.00068,-5.6
0.00072,14.6,0.00072,-5.4
0.00076,14.4,0.00076,-5.4
0.0008,14.6,0.0008,-5.2
0.00084,14.4,0.00084,-5.2
0.00088,14.4,0.00088,-5.2
0.00092,14.6,0.00092,-5.2
0.00096,14.6,0.00096,-5
0.001,14.4,0.001,-5
0.00104,14.4,0.00104,-4.8
0.00108,14.4,0.00108,-4.6
0.00112,14.4,0.00112,-4.6
0.00116,14.4,0.00116,-4.6
0.0012,14.4,0.0012,-4.4
0.00124,14.4,0.00124,-4.4
0.00128,14.4,0.00128,-4.4
0.00132,14.4,0.00132,-4.2
0.00136,14.4,0.00136,-4.2
0.0014,14.4,0.0014,-4.2
0.00144,14.4,0.00144,-4
0.00148,14.4,0.00148,-4
0.00152,14.4,0.00152,-4
0.00156,14.4,0.00156,-3.8
0.0016,14.4,0.0016,-3.8
0.00164,14.4,0.00164,-3.6
0.00168,14.6,0.00168,-3.6
0.00172,14.4,0.00172,-3.6
0.00176,14.4,0.00176,-3.6
0.0018,14.4,0.0018,-3.4
0.00184,14.6,0.00184,-3.4
0.00188,14.4,0.00188,-3.4
0.00192,14.4,0.00192,-3.2
0.00196,14.4,0.00196,-3.2
0.002,14.4,0.002,-3.2
0.00204,14.4,0.00204,-3
0.00208,14.4,0.00208,-3
0.00212,14.4,0.00212,-3
0.00216,14.4,0.00216,-2.8
0.0022,14.6,0.0022,-2.8
0.00224,14.4,0.00224,-2.8
0.00228,14.4,0.00228,-2.8
0.00232,14.4,0.00232,-2.6
0.00236,14.4,0.00236,-2.6
0.0024,14.4,0.0024,-2.4
0.00244,14.4,0.00244,-2.4
0.00248,14.4,0.00248,-2.4
0.00252,14.4,0.00252,-2.2
0.00256,14.4,0.00256,-2.2
0.0026,14.4,0.0026,-2.2
0.00264,14.4,0.00264,-2
0.00268,14.6,0.00268,-2
0.00272,14.4,0.00272,-2
